"ՀԱՄԱՅՆՔ,ՄԱՐԶ","(17, 19]","(19, 29]","(29, 39]","(39, 49]","(49, 59]","(59, 69]","(69, 79]","(79, 120]",ՀԱՄԱՅՆՔ,ՄԱՐԶ,lat,lon
"ԱԲՈՎՅԱՆ, ԱՐԱՐԱՏ",13.0,229.0,287.0,191.0,220.0,210.0,36.0,38.0,Աբովյան,Արարատ,40.0510237,44.5473952
"ԱԲՈՎՅԱՆ, ԿՈՏԱՅՔ",576.0,6242.0,10886.0,8433.0,6721.0,7655.0,2962.0,1512.0,Աբովյան,Կոտայք,40.2736902,44.6081077
"ԱԳԱՐԱԿ(ԱՇՏԱՐԱԿ), ԱՐԱԳԱԾՈՏՆ",11.0,252.0,349.0,225.0,274.0,213.0,53.0,47.0,Ագարակ (Աշտարակ),Արագածոտն,40.3014822,44.2801594
"ԱԳԱՐԱԿԱՎԱՆ, ԱՐԱԳԱԾՈՏՆ",10.0,175.0,172.0,136.0,144.0,103.0,30.0,31.0,Ագարակավան,Արագածոտն,40.3328557,44.0706326
"ԱԶԱՏԱՄՈՒՏ, ՏԱՎՈՒՇ",31.0,267.0,612.0,583.0,172.0,530.0,116.0,33.0,Ազատամուտ,Տավուշ,40.9882155,45.2072695
"ԱԶԱՏԱՆ, ՇԻՐԱԿ",43.0,761.0,919.0,662.0,724.0,522.0,162.0,144.0,Ազատան,Շիրակ,40.7222384,43.8325921
"ԱԶԱՏԱՇԵՆ, ԱՐԱՐԱՏ",4.0,111.0,128.0,119.0,122.0,90.0,22.0,21.0,Ազատաշեն,Արարատ,40.1362467,44.4161917
"ԱԶԱՏԱՎԱՆ, ԱՐԱՐԱՏ",21.0,467.0,543.0,414.0,455.0,414.0,148.0,129.0,Ազատավան,Արարատ,39.9855753,44.5064986
"ԱԶՆՎԱՁՈՐ, ԼՈՌԻ",7.0,69.0,87.0,65.0,70.0,58.0,22.0,24.0,Ազնվաձոր,Լոռի,40.8762028,44.4274872
"ԱԼԱԳՅԱԶ, ԱՐԱԳԱԾՈՏՆ",54.0,590.0,786.0,799.0,688.0,421.0,149.0,64.0,Ալագյազ,Արագածոտն,40.680249,44.2875444
"ԱԼԱՇԿԵՐՏ, ԱՐՄԱՎԻՐ",11.0,266.0,367.0,257.0,241.0,231.0,57.0,46.0,Ալաշկերտ,Արմավիր,40.106025,44.0519756
"ԱԼԱՎԵՐԴԻ, ԼՈՌԻ",242.0,2685.0,4192.0,3308.0,3380.0,3366.0,1189.0,880.0,Ալավերդի,Լոռի,41.0911538,44.6590356
"ԱԽԹԱԼԱ, ԼՈՌԻ",61.0,746.0,1204.0,847.0,994.0,806.0,293.0,336.0,Ախթալա,Լոռի,41.149463,44.7635042
"ԱԽՈՒՐԻԿ, ՇԻՐԱԿ",11.0,158.0,196.0,126.0,183.0,109.0,37.0,36.0,Ախուրիկ,Շիրակ,40.7397094,43.7740026
"ԱԽՈՒՐՅԱՆ, ՇԻՐԱԿ",155.0,2228.0,3239.0,2280.0,2286.0,2081.0,629.0,414.0,Ախուրյան,Շիրակ,40.7806495,43.8997986
"ԱԽՊՐԱՁՈՐ, ԳԵՂԱՐՔՈՒՆԻՔ",3.0,59.0,56.0,41.0,50.0,26.0,1.0,9.0,Ախպրաձոր,Գեղարքունիք,40.0960447,45.6405596
"ԱԿՆԱԼԻՃ, ԱՐՄԱՎԻՐ",33.0,506.0,538.0,403.0,490.0,221.0,91.0,102.0,Ակնալիճ,Արմավիր,40.1405463,44.1607005
"ԱԿՆԱՂԲՅՈՒՐ, ՏԱՎՈՒՇ",7.0,72.0,65.0,72.0,69.0,41.0,21.0,38.0,Ակնաղբյուր,Տավուշ,40.9620148,45.1593431
"ԱԿՆԱՇԵՆ, ԱՐՄԱՎԻՐ",18.0,214.0,310.0,227.0,243.0,211.0,54.0,38.0,Ակնաշեն,Արմավիր,40.092946,44.2917904
"ԱԿՈՒՆՔ, ԱՐԱԳԱԾՈՏՆ",3.0,71.0,146.0,84.0,99.0,70.0,28.0,16.0,Ակունք,Արագածոտն,40.4253474,43.8999295
